numnation	nom	continent
374	NomNation374	Amérique
375	NomNation375	Europe
376	NomNation376	Amérique
377	NomNation377	Amérique
378	NomNation378	Europe
379	NomNation379	Amérique
380	NomNation380	Amérique
381	NomNation381	Europe
382	NomNation382	Amérique
383	NomNation383	Amérique
384	NomNation384	Amérique
385	NomNation385	Europe
386	NomNation386	Amérique
387	NomNation387	Amérique
388	NomNation388	Europe
389	NomNation389	Amérique
390	NomNation390	Amérique
391	NomNation391	Europe
392	NomNation392	Amérique
393	NomNation393	Amérique
394	NomNation394	Europe
395	NomNation395	Amérique
396	NomNation396	Amérique
397	NomNation397	Amérique
398	NomNation398	Europe
399	NomNation399	Amérique
400	NomNation400	Amérique
401	NomNation401	Europe
402	NomNation402	Amérique
403	NomNation403	Amérique
404	NomNation404	Europe
405	NomNation405	Amérique
406	NomNation406	Amérique
407	NomNation407	Europe
408	NomNation408	Amérique
409	NomNation409	Amérique
410	NomNation410	Amérique
411	NomNation411	Europe
412	NomNation412	Amérique
413	NomNation413	Amérique
414	NomNation414	Europe
415	NomNation415	Amérique
416	NomNation416	Amérique
417	NomNation417	Europe
418	NomNation418	Amérique
419	NomNation419	Amérique
420	NomNation420	Europe
421	NomNation421	Amérique
422	NomNation422	Amérique
423	NomNation423	Amérique
424	NomNation424	Europe
425	NomNation425	Amérique
426	NomNation426	Amérique
427	NomNation427	Europe
428	NomNation428	Amérique
429	NomNation429	Amérique
430	NomNation430	Europe
431	NomNation431	Amérique
432	NomNation432	Amérique
433	NomNation433	Europe
434	NomNation434	Amérique
435	NomNation435	Amérique
436	NomNation436	Amérique
437	NomNation437	Europe
438	NomNation438	Amérique
439	NomNation439	Amérique
440	NomNation440	Europe
441	NomNation441	Amérique
442	NomNation442	Amérique
443	NomNation443	Europe
444	NomNation444	Amérique
445	NomNation445	Amérique
446	NomNation446	Europe
447	NomNation447	Amérique
448	NomNation448	Amérique
449	NomNation449	Amérique
450	NomNation450	Europe
451	NomNation451	Amérique
452	NomNation452	Amérique
453	NomNation453	Europe
454	NomNation454	Amérique
455	NomNation455	Amérique
456	NomNation456	Europe
457	NomNation457	Amérique
458	NomNation458	Amérique
459	NomNation459	Europe
460	NomNation460	Amérique
461	NomNation461	Amérique
462	NomNation462	Amérique
463	NomNation463	Europe
464	NomNation464	Amérique
465	NomNation465	Amérique
466	NomNation466	Europe
467	NomNation467	Amérique
468	NomNation468	Amérique
469	NomNation469	Europe
470	NomNation470	Amérique
471	NomNation471	Amérique
472	NomNation472	Europe
473	NomNation473	Amérique
474	NomNation474	Amérique
475	NomNation475	Amérique
476	NomNation476	Europe
477	NomNation477	Amérique
478	NomNation478	Amérique
479	NomNation479	Europe
480	NomNation480	Amérique
481	NomNation481	Amérique
482	NomNation482	Europe
483	NomNation483	Amérique
484	NomNation484	Amérique
485	NomNation485	Europe
486	NomNation486	Amérique
487	NomNation487	Amérique
488	NomNation488	Amérique
489	NomNation489	Europe
490	NomNation490	Amérique
491	NomNation491	Amérique
492	NomNation492	Europe
493	NomNation493	Amérique
494	NomNation494	Amérique
495	NomNation495	Europe
496	NomNation496	Amérique
497	NomNation497	Amérique
498	NomNation498	Europe
499	NomNation499	Amérique
500	NomNation500	Amérique
501	NomNation501	Amérique
502	NomNation502	Europe
503	NomNation503	Amérique
504	NomNation504	Amérique
505	NomNation505	Europe
506	NomNation506	Amérique
507	NomNation507	Amérique
508	NomNation508	Europe
509	NomNation509	Amérique
510	NomNation510	Amérique
511	NomNation511	Europe
512	NomNation512	Amérique
513	NomNation513	Amérique
514	NomNation514	Amérique
515	NomNation515	Europe
516	NomNation516	Amérique
517	NomNation517	Amérique
518	NomNation518	Europe
519	NomNation519	Amérique
520	NomNation520	Amérique
521	NomNation521	Europe
522	NomNation522	Amérique
523	NomNation523	Amérique
524	NomNation524	Europe
525	NomNation525	Amérique
526	NomNation526	Amérique
527	NomNation527	Amérique
528	NomNation528	Europe
529	NomNation529	Amérique
530	NomNation530	Amérique
531	NomNation531	Europe
532	NomNation532	Amérique
533	NomNation533	Amérique
534	NomNation534	Europe
535	NomNation535	Amérique
536	NomNation536	Amérique
537	NomNation537	Europe
538	NomNation538	Amérique
539	NomNation539	Amérique
540	NomNation540	Amérique
541	NomNation541	Europe
542	NomNation542	Amérique
543	NomNation543	Amérique
544	NomNation544	Europe
545	NomNation545	Amérique
546	NomNation546	Amérique
547	NomNation547	Europe
548	NomNation548	Amérique
549	NomNation549	Amérique
550	NomNation550	Europe
551	NomNation551	Amérique
552	NomNation552	Amérique
553	NomNation553	Amérique
554	NomNation554	Europe
555	NomNation555	Amérique
556	NomNation556	Amérique
557	NomNation557	Europe
558	NomNation558	Amérique
559	NomNation559	Amérique
560	NomNation560	Europe
561	NomNation561	Amérique
562	NomNation562	Amérique
563	NomNation563	Europe
564	NomNation564	Amérique
565	NomNation565	Amérique
566	NomNation566	Amérique
567	NomNation567	Europe
568	NomNation568	Amérique
569	NomNation569	Amérique
570	NomNation570	Europe
571	NomNation571	Amérique
572	NomNation572	Amérique
573	NomNation573	Europe
574	NomNation574	Amérique
575	NomNation575	Amérique
576	NomNation576	Europe
577	NomNation577	Amérique
578	NomNation578	Amérique
579	NomNation579	Amérique
580	NomNation580	Europe
581	NomNation581	Amérique
582	NomNation582	Amérique
583	NomNation583	Europe
584	NomNation584	Amérique
585	NomNation585	Amérique
586	NomNation586	Europe
587	NomNation587	Amérique
588	NomNation588	Amérique
589	NomNation589	Europe
590	NomNation590	Amérique
591	NomNation591	Amérique
592	NomNation592	Amérique
593	NomNation593	Europe
594	NomNation594	Amérique
595	NomNation595	Amérique
596	NomNation596	Europe
597	NomNation597	Amérique
598	NomNation598	Amérique
599	NomNation599	Europe
600	NomNation600	Amérique
601	NomNation601	Amérique
602	NomNation602	Europe
603	NomNation603	Amérique
604	NomNation604	Amérique
605	NomNation605	Amérique
606	NomNation606	Europe
607	NomNation607	Amérique
608	NomNation608	Amérique
609	NomNation609	Europe
610	NomNation610	Amérique
611	NomNation611	Amérique
612	NomNation612	Europe
613	NomNation613	Amérique
614	NomNation614	Amérique
615	NomNation615	Europe
616	NomNation616	Amérique
617	NomNation617	Amérique
618	NomNation618	Amérique
619	NomNation619	Europe
620	NomNation620	Amérique
621	NomNation621	Amérique
622	NomNation622	Europe
623	NomNation623	Amérique
624	NomNation624	Amérique
625	NomNation625	Europe
626	NomNation626	Amérique
627	NomNation627	Amérique
628	NomNation628	Europe
629	NomNation629	Amérique
630	NomNation630	Amérique
631	NomNation631	Amérique
632	NomNation632	Europe
633	NomNation633	Amérique
634	NomNation634	Amérique
635	NomNation635	Europe
636	NomNation636	Amérique
637	NomNation637	Amérique
638	NomNation638	Europe
639	NomNation639	Amérique
640	NomNation640	Amérique
641	NomNation641	Europe
642	NomNation642	Amérique
643	NomNation643	Amérique
644	NomNation644	Amérique
645	NomNation645	Europe
646	NomNation646	Amérique
647	NomNation647	Amérique
648	NomNation648	Europe
649	NomNation649	Amérique
650	NomNation650	Amérique
651	NomNation651	Europe
652	NomNation652	Amérique
653	NomNation653	Amérique
654	NomNation654	Europe
655	NomNation655	Amérique
656	NomNation656	Amérique
657	NomNation657	Amérique
658	NomNation658	Europe
659	NomNation659	Amérique
660	NomNation660	Amérique
661	NomNation661	Europe
662	NomNation662	Amérique
663	NomNation663	Amérique
664	NomNation664	Europe
665	NomNation665	Amérique
666	NomNation666	Amérique
667	NomNation667	Europe
668	NomNation668	Amérique
669	NomNation669	Amérique
670	NomNation670	Amérique
671	NomNation671	Europe
672	NomNation672	Amérique
673	NomNation673	Amérique
674	NomNation674	Europe
675	NomNation675	Amérique
676	NomNation676	Amérique
677	NomNation677	Europe
678	NomNation678	Amérique
679	NomNation679	Amérique
680	NomNation680	Europe
681	NomNation681	Amérique
682	NomNation682	Amérique
683	NomNation683	Amérique
684	NomNation684	Europe
685	NomNation685	Amérique
686	NomNation686	Amérique
687	NomNation687	Europe
688	NomNation688	Amérique
689	NomNation689	Amérique
690	NomNation690	Europe
691	NomNation691	Amérique
692	NomNation692	Amérique
693	NomNation693	Europe
694	NomNation694	Amérique
695	NomNation695	Amérique
696	NomNation696	Amérique
697	NomNation697	Europe
698	NomNation698	Amérique
699	NomNation699	Amérique
700	NomNation700	Europe
701	NomNation701	Amérique
702	NomNation702	Amérique
703	NomNation703	Europe
704	NomNation704	Amérique
705	NomNation705	Amérique
706	NomNation706	Europe
707	NomNation707	Amérique
708	NomNation708	Amérique
709	NomNation709	Amérique
710	NomNation710	Europe
711	NomNation711	Amérique
712	NomNation712	Amérique
713	NomNation713	Europe
714	NomNation714	Amérique
715	NomNation715	Amérique
716	NomNation716	Europe
717	NomNation717	Amérique
718	NomNation718	Amérique
719	NomNation719	Europe
720	NomNation720	Amérique
721	NomNation721	Amérique
722	NomNation722	Amérique
723	NomNation723	Europe
724	NomNation724	Amérique
725	NomNation725	Amérique
726	NomNation726	Europe
727	NomNation727	Amérique
728	NomNation728	Amérique
729	NomNation729	Europe
730	NomNation730	Amérique
731	NomNation731	Amérique
732	NomNation732	Europe
733	NomNation733	Amérique
734	NomNation734	Amérique
735	NomNation735	Amérique
736	NomNation736	Europe
737	NomNation737	Amérique
738	NomNation738	Amérique
739	NomNation739	Europe
740	NomNation740	Amérique
741	NomNation741	Amérique
742	NomNation742	Europe
743	NomNation743	Amérique
744	NomNation744	Amérique
745	NomNation745	Europe
746	NomNation746	Amérique
747	NomNation747	Amérique
748	NomNation748	Amérique
749	NomNation749	Europe
750	NomNation750	Amérique
751	NomNation751	Amérique
752	NomNation752	Europe
753	NomNation753	Amérique
754	NomNation754	Amérique
755	NomNation755	Europe
756	NomNation756	Amérique
757	NomNation757	Amérique
758	NomNation758	Europe
759	NomNation759	Amérique
760	NomNation760	Amérique
761	NomNation761	Amérique
762	NomNation762	Europe
763	NomNation763	Amérique
764	NomNation764	Amérique
765	NomNation765	Europe
766	NomNation766	Amérique
767	NomNation767	Amérique
768	NomNation768	Europe
769	NomNation769	Amérique
770	NomNation770	Amérique
771	NomNation771	Europe
772	NomNation772	Amérique
773	NomNation773	Amérique
774	NomNation774	Amérique
775	NomNation775	Europe
776	NomNation776	Amérique
777	NomNation777	Amérique
778	NomNation778	Europe
779	NomNation779	Amérique
780	NomNation780	Amérique
781	NomNation781	Europe
782	NomNation782	Amérique
783	NomNation783	Amérique
784	NomNation784	Europe
785	NomNation785	Amérique
786	NomNation786	Amérique
787	NomNation787	Amérique
788	NomNation788	Europe
789	NomNation789	Amérique
790	NomNation790	Amérique
791	NomNation791	Europe
792	NomNation792	Amérique
793	NomNation793	Amérique
794	NomNation794	Europe
795	NomNation795	Amérique
796	NomNation796	Amérique
797	NomNation797	Europe
798	NomNation798	Amérique
799	NomNation799	Amérique
800	NomNation800	Amérique
801	NomNation801	Europe
802	NomNation802	Amérique
803	NomNation803	Amérique
804	NomNation804	Europe
805	NomNation805	Amérique
806	NomNation806	Amérique
807	NomNation807	Europe
808	NomNation808	Amérique
809	NomNation809	Amérique
810	NomNation810	Europe
811	NomNation811	Amérique
812	NomNation812	Amérique
813	NomNation813	Amérique
814	NomNation814	Europe
815	NomNation815	Amérique
816	NomNation816	Amérique
817	NomNation817	Europe
818	NomNation818	Amérique
819	NomNation819	Amérique
820	NomNation820	Europe
821	NomNation821	Amérique
822	NomNation822	Amérique
823	NomNation823	Europe
824	NomNation824	Amérique
825	NomNation825	Amérique
826	NomNation826	Amérique
827	NomNation827	Europe
828	NomNation828	Amérique
829	NomNation829	Amérique
830	NomNation830	Europe
831	NomNation831	Amérique
832	NomNation832	Amérique
833	NomNation833	Europe
834	NomNation834	Amérique
835	NomNation835	Amérique
836	NomNation836	Europe
837	NomNation837	Amérique
838	NomNation838	Amérique
839	NomNation839	Amérique
840	NomNation840	Europe
841	NomNation841	Amérique
842	NomNation842	Amérique
843	NomNation843	Europe
844	NomNation844	Amérique
845	NomNation845	Amérique
846	NomNation846	Europe
847	NomNation847	Amérique
848	NomNation848	Amérique
849	NomNation849	Europe
850	NomNation850	Amérique
851	NomNation851	Amérique
852	NomNation852	Amérique
853	NomNation853	Europe
854	NomNation854	Amérique
855	NomNation855	Amérique
856	NomNation856	Europe
857	NomNation857	Amérique
858	NomNation858	Amérique
859	NomNation859	Europe
860	NomNation860	Amérique
861	NomNation861	Amérique
862	NomNation862	Europe
863	NomNation863	Amérique
864	NomNation864	Amérique
865	NomNation865	Amérique
866	NomNation866	Europe
867	NomNation867	Amérique
868	NomNation868	Amérique
869	NomNation869	Europe
870	NomNation870	Amérique
871	NomNation871	Amérique
872	NomNation872	Europe
873	NomNation873	Amérique
874	NomNation874	Amérique
875	NomNation875	Europe
876	NomNation876	Amérique
877	NomNation877	Amérique
878	NomNation878	Amérique
879	NomNation879	Europe
880	NomNation880	Amérique
881	NomNation881	Amérique
882	NomNation882	Europe
883	NomNation883	Amérique
884	NomNation884	Amérique
885	NomNation885	Europe
886	NomNation886	Amérique
887	NomNation887	Amérique
888	NomNation888	Europe
889	NomNation889	Amérique
890	NomNation890	Amérique
891	NomNation891	Amérique
892	NomNation892	Europe
893	NomNation893	Amérique
894	NomNation894	Amérique
895	NomNation895	Europe
896	NomNation896	Amérique
897	NomNation897	Amérique
898	NomNation898	Europe
899	NomNation899	Amérique
900	NomNation900	Amérique
901	NomNation901	Europe
902	NomNation902	Amérique
903	NomNation903	Amérique
904	NomNation904	Amérique
905	NomNation905	Europe
906	NomNation906	Amérique
907	NomNation907	Amérique
908	NomNation908	Europe
909	NomNation909	Amérique
910	NomNation910	Amérique
911	NomNation911	Europe
912	NomNation912	Amérique
913	NomNation913	Amérique
914	NomNation914	Europe
915	NomNation915	Amérique
916	NomNation916	Amérique
917	NomNation917	Amérique
918	NomNation918	Europe
919	NomNation919	Amérique
920	NomNation920	Amérique
921	NomNation921	Europe
922	NomNation922	Amérique
923	NomNation923	Amérique
924	NomNation924	Europe
925	NomNation925	Amérique
926	NomNation926	Amérique
927	NomNation927	Europe
928	NomNation928	Amérique
929	NomNation929	Amérique
930	NomNation930	Amérique
931	NomNation931	Europe
932	NomNation932	Amérique
933	NomNation933	Amérique
934	NomNation934	Europe
935	NomNation935	Amérique
936	NomNation936	Amérique
937	NomNation937	Europe
938	NomNation938	Amérique
939	NomNation939	Amérique
940	NomNation940	Europe
941	NomNation941	Amérique
942	NomNation942	Amérique
943	NomNation943	Amérique
944	NomNation944	Europe
945	NomNation945	Amérique
946	NomNation946	Amérique
947	NomNation947	Europe
948	NomNation948	Amérique
949	NomNation949	Amérique
950	NomNation950	Europe
951	NomNation951	Amérique
952	NomNation952	Amérique
953	NomNation953	Europe
954	NomNation954	Amérique
955	NomNation955	Amérique
956	NomNation956	Amérique
957	NomNation957	Europe
958	NomNation958	Amérique
959	NomNation959	Amérique
960	NomNation960	Europe
961	NomNation961	Amérique
962	NomNation962	Amérique
963	NomNation963	Europe
964	NomNation964	Amérique
965	NomNation965	Amérique
966	NomNation966	Europe
967	NomNation967	Amérique
968	NomNation968	Amérique
969	NomNation969	Amérique
970	NomNation970	Europe
971	NomNation971	Amérique
972	NomNation972	Amérique
973	NomNation973	Europe
974	NomNation974	Amérique
975	NomNation975	Amérique
976	NomNation976	Europe
977	NomNation977	Amérique
978	NomNation978	Amérique
979	NomNation979	Europe
980	NomNation980	Amérique
981	NomNation981	Amérique
982	NomNation982	Amérique
983	NomNation983	Europe
984	NomNation984	Amérique
985	NomNation985	Amérique
986	NomNation986	Europe
987	NomNation987	Amérique
988	NomNation988	Amérique
989	NomNation989	Europe
990	NomNation990	Amérique
991	NomNation991	Amérique
992	NomNation992	Europe
993	NomNation993	Amérique
994	NomNation994	Amérique
995	NomNation995	Amérique
996	NomNation996	Europe
997	NomNation997	Amérique
998	NomNation998	Amérique
999	NomNation999	Europe
1000	NomNation1000	Amérique
1001	NomNation1001	Amérique
1002	NomNation1002	Europe
1003	NomNation1003	Amérique
1004	NomNation1004	Amérique
1005	NomNation1005	Europe
1006	NomNation1006	Amérique
1007	NomNation1007	Amérique
1008	NomNation1008	Amérique
1009	NomNation1009	Europe
1010	NomNation1010	Amérique
1011	NomNation1011	Amérique
1012	NomNation1012	Europe
1013	NomNation1013	Amérique
1014	NomNation1014	Amérique
1015	NomNation1015	Europe
1016	NomNation1016	Amérique
1017	NomNation1017	Amérique
1018	NomNation1018	Europe
1019	NomNation1019	Amérique
1020	NomNation1020	Amérique
1021	NomNation1021	Amérique
1022	NomNation1022	Europe
1023	NomNation1023	Amérique
1024	NomNation1024	Amérique
1025	NomNation1025	Europe
1026	NomNation1026	Amérique
1027	NomNation1027	Amérique
1028	NomNation1028	Europe
1029	NomNation1029	Amérique
1030	NomNation1030	Amérique
1031	NomNation1031	Europe
1032	NomNation1032	Amérique
1033	NomNation1033	Amérique
1034	NomNation1034	Amérique
1035	NomNation1035	Europe
1036	NomNation1036	Amérique
1037	NomNation1037	Amérique
1038	NomNation1038	Europe
1039	NomNation1039	Amérique
1040	NomNation1040	Amérique
1041	NomNation1041	Europe
1042	NomNation1042	Amérique
1043	NomNation1043	Amérique
1044	NomNation1044	Europe
1045	NomNation1045	Amérique
1046	NomNation1046	Amérique
1047	NomNation1047	Amérique
1048	NomNation1048	Europe
1049	NomNation1049	Amérique
1050	NomNation1050	Amérique
1051	NomNation1051	Europe
1052	NomNation1052	Amérique
1053	NomNation1053	Amérique
1054	NomNation1054	Europe
1055	NomNation1055	Amérique
1056	NomNation1056	Amérique
1057	NomNation1057	Europe
1058	NomNation1058	Amérique
1059	NomNation1059	Amérique
1060	NomNation1060	Amérique
1061	NomNation1061	Europe
1062	NomNation1062	Amérique
1063	NomNation1063	Amérique
1064	NomNation1064	Europe
1065	NomNation1065	Amérique
1066	NomNation1066	Amérique
1067	NomNation1067	Europe
1068	NomNation1068	Amérique
1069	NomNation1069	Amérique
1070	NomNation1070	Europe
1071	NomNation1071	Amérique
1072	NomNation1072	Amérique
1073	NomNation1073	Amérique
1074	NomNation1074	Europe
1075	NomNation1075	Amérique
1076	NomNation1076	Amérique
1077	NomNation1077	Europe
1078	NomNation1078	Amérique
1079	NomNation1079	Amérique
1080	NomNation1080	Europe
1081	NomNation1081	Amérique
1082	NomNation1082	Amérique
1083	NomNation1083	Europe
1084	NomNation1084	Amérique
1085	NomNation1085	Amérique
1086	NomNation1086	Amérique
1087	NomNation1087	Europe
